"{""columnType"":""DIMENSION"";""dataType"":""STRING"";""name"":""ga:pagePath""}";"{""columnType"":""DIMENSION"";""dataType"":""STRING"";""name"":""ga:date""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:visits""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:visitors""}";"{""columnType"":""METRIC"";""dataType"":""TIME"";""name"":""ga:avgTimeOnPage""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:pageviews""}";"{""columnType"":""METRIC"";""dataType"":""TIME"";""name"":""ga:timeOnPage""}";"{""columnType"":""METRIC"";""dataType"":""INTEGER"";""name"":""ga:uniquepageviews""}";
/about;20101129;1;6;30.142.857.142.857.100;9;211.0;6;
/about;20101130;2;11;2.751.875;24;4403.0;11;
/about;20101201;2;5;39.0;8;273.0;5;
/about;20101202;1;5;61.0;6;183.0;5;
/about;20101203;1;4;26.2;6;131.0;4;
/about;20101204;2;2;35.0;3;35.0;3;
/about;20101205;3;8;45.666.666.666.666.600;9;274.0;8;
/about;20101206;1;3;28.5;3;57.0;3;
/about;20101207;1;2;41.0;2;41.0;2;
/about;20101208;1;4;9.5;4;19.0;4;
/about;20101209;3;3;31.5;4;63.0;4;
/about;20101210;2;5;57.0;5;114.0;5;
/about;20101211;1;2;17.0;2;17.0;2;
/about;20101212;1;4;174.5;6;698.0;4;
/about;20101213;1;3;22.5;3;45.0;3;
/about;20101214;1;3;4.0;3;4.0;3;
/about;20101215;3;10;40.0;12;240.0;11;
/about;20101216;5;8;21.4;13;107.0;11;
/about;20101217;5;5;73.5;8;147.0;8;
/about;20101218;7;3;50.0;8;50.0;8;
/about;20101219;2;4;27.0;4;27.0;4;
/about;20101220;0;3;14.433.333.333.333.300;3;433.0;3;
/about;20101221;1;3;1602.0;3;1602.0;3;
/about;20101222;2;5;11.2;7;56.0;6;
/about;20101223;2;2;147.75;6;591.0;3;
/about;20101224;1;1;0.0;1;0.0;1;
/about;20101225;3;4;41.5;4;83.0;4;
/about;20101226;1;2;37.0;3;37.0;2;
/about;20101227;2;1;361.0;3;361.0;2;
/about;20101228;2;2;283.5;5;567.0;3;
/about;20101229;3;2;0.0;3;0.0;3;
/about;20101230;1;2;0.0;2;0.0;2;
/about;20110101;1;2;0.0;2;0.0;2;
/about;20110102;1;4;4.596.666.666.666.660;6;1379.0;4;
/about;20110103;2;5;8.4;8;42.0;6;
/about;20110104;1;6;73.0;6;292.0;6;
/about;20110105;3;5;7.0;5;7.0;5;
/about;20110106;1;3;18.0;3;36.0;3;
/about;20110107;3;8;32.25;9;129.0;9;
/about;20110108;0;3;23.0;4;69.0;3;
/about;20110110;1;6;25.0;9;200.0;6;
/about;20110111;1;2;2.0;2;2.0;2;
/about;20110112;1;1;0.0;1;0.0;1;
/about;20110113;1;5;69.8;8;349.0;5;
/about;20110114;1;4;34.5;5;69.0;4;
/about;20110115;1;1;0.0;1;0.0;1;
/about;20110116;1;7;16.666.666.666.666.600;10;100.0;7;
/about;20110117;2;5;17.666.666.666.666.600;7;53.0;6;
/about;20110118;3;9;71.5;13;572.0;11;
/about;20110119;1;9;18.333.333.333.333.300;11;165.0;9;
/about;20110120;3;4;3.754.545.454.545.450;13;413.0;7;
/about;20110121;9;11;3.836.363.636.363.630;26;844.0;18;
/about;20110122;3;2;0.0;3;0.0;3;
/about;20110123;3;3;377.0;5;754.0;5;
/about;20110124;2;6;210.25;8;841.0;6;
/about;20110125;2;4;15.066.666.666.666.600;5;452.0;4;
/about;20110126;3;5;415.0;5;1660.0;5;
/about;20110127;1;4;8.5;4;17.0;4;
/about;20110128;2;4;350.0;6;1400.0;4;
/about;20110129;1;3;5.0;4;15.0;3;
/about;20110130;1;2;0.0;2;0.0;2;
/about;20110131;2;3;91.0;3;91.0;3;
/about;20110201;2;5;24.266.666.666.666.600;6;728.0;5;
/about;20110202;1;8;55.5;11;444.0;8;
/about;20110203;2;6;107.875;11;863.0;7;
/about;20110204;4;6;40.75;8;163.0;6;
/about;20110205;1;2;0.0;2;0.0;2;
/about;20110206;0;4;26.0;7;130.0;4;
/about;20110207;1;2;5.0;2;5.0;2;
/about;20110208;2;8;247.0;11;1729.0;9;
/about;20110209;1;6;22.0;7;110.0;6;
/about;20110210;2;6;41.0;6;41.0;6;
/about;20110211;1;3;75.5;3;151.0;3;
/about;20110212;1;1;0.0;1;0.0;1;
/about;20110213;2;4;18.0;4;36.0;4;
/about;20110214;0;4;0.0;4;0.0;4;
/about;20110215;1;6;63.888.888.888.888.800;9;575.0;6;
/about;20110216;3;6;4.188.333.333.333.330;9;2513.0;6;
/about;20110217;1;3;20.5;3;41.0;3;
/about;20110218;1;4;9.0;4;18.0;4;
/about;20110219;1;4;5.5;5;11.0;4;
/about;20110220;3;4;33.333.333.333.333.300;6;100.0;5;
/about;20110221;4;7;413.0;10;1652.0;10;
/about;20110222;3;6;141.875;12;1135.0;7;
/about;20110223;1;1;0.0;1;0.0;1;
/about;20110224;1;5;253.0;6;759.0;5;
/about;20110225;1;5;39.5;5;79.0;5;
/about;20110226;1;2;0.0;2;0.0;2;
/about;20110227;1;2;37.0;2;37.0;2;
/about;20110228;2;5;22.75;7;91.0;6;
/about;20110301;1;7;23.0;8;161.0;7;
/about;20110302;2;6;44.625;10;357.0;6;
/about;20110303;0;5;29.5;5;118.0;5;
/about;20110304;0;11;31.444.444.444.444.400;13;283.0;11;
/about;20110305;0;2;46.5;2;93.0;2;
/about;20110306;0;7;22.5;8;135.0;7;
/about;20110307;2;10;9.458.333.333.333.330;20;1135.0;12;
/about;20110308;1;2;0.0;2;0.0;2;
/about;20110309;2;9;2.422.222.222.222.220;15;218.0;10;
/about;20110310;3;8;112.5;9;225.0;9;
/about;20110311;1;5;41.714.285.714.285.700;9;292.0;5;
/about;20110312;1;3;298.0;4;298.0;3;
/about;20110313;1;5;10.5;5;21.0;5;
/about;20110314;3;7;35.285.714.285.714.200;11;247.0;8;
/about;20110315;3;7;14.5;8;58.0;7;
/about;20110316;4;15;50.92;57;2546.0;22;
/about;20110317;2;10;23.357.142.857.142.800;17;327.0;11;
/about;20110318;2;4;10.25;7;41.0;5;
/about;20110319;1;3;42.5;4;85.0;3;
/about;20110320;0;1;67.0;3;201.0;1;
/about;20110321;4;12;17.666.666.666.666.600;15;159.0;13;
/about;20110322;4;8;21.4;15;214.0;10;
/about;20110323;3;6;175.8;13;1758.0;7;
/about;20110324;4;14;48.733.333.333.333.300;21;731.0;16;
/about;20110325;1;3;12.0;3;12.0;3;
/about;20110326;1;1;0.0;1;0.0;1;
/about;20110327;1;2;204.0;3;204.0;2;
/about;20110328;1;8;14.714.285.714.285.700;10;103.0;8;
/about;20110329;1;6;132.6;6;663.0;6;
/about;20110330;1;6;12.571.428.571.428.500;9;88.0;6;
/about;20110331;2;5;22.0;5;22.0;5;
/about;20110401;3;11;24.2;11;121.0;11;
/about;20110402;1;3;12.5;3;25.0;3;
/about;20110403;1;5;57.0;8;342.0;5;
/about;20110404;3;9;35.0;10;140.0;10;
/about;20110405;3;9;51.142.857.142.857.100;14;358.0;10;
/about;20110406;3;8;49.1;13;491.0;8;
/about;20110407;1;5;36.666.666.666.666.600;6;110.0;5;
/about;20110408;2;5;30.0;6;60.0;6;
/about;20110409;1;4;28.0;4;56.0;4;
/about;20110410;3;4;19.157.142.857.142.800;11;1341.0;5;
/about;20110411;3;7;80.375;13;643.0;8;
/about;20110412;3;4;10.0;5;20.0;5;
/about;20110413;6;3;430.5;10;1722.0;7;
/about;20110414;3;4;13.75;7;55.0;6;
/about;20110415;1;3;12.333.333.333.333.300;4;37.0;3;
/about;20110416;0;1;4.333.333.333.333.330;3;13.0;1;
/about;20110417;0;3;4.8;5;24.0;3;
/about;20110418;0;6;40.2;7;201.0;6;
/about;20110419;0;7;5.677.777.777.777.770;10;511.0;8;
/about;20110420;0;5;57.333.333.333.333.300;8;344.0;5;
/about;20110421;0;5;19.0;6;95.0;5;
/about;20110422;1;5;22.666.666.666.666.600;5;68.0;5;
/about;20110423;0;1;5.0;1;5.0;1;
/about;20110425;0;4;4.666.666.666.666.660;5;14.0;4;
/about;20110426;2;6;22.0;10;110.0;8;
/about;20110427;1;3;4.0;3;4.0;3;
/about;20110428;6;11;108.25;18;1299.0;13;
/about;20110429;5;8;21.333.333.333.333.300;16;192.0;12;
/about;20110430;3;3;23.0;5;46.0;5;
/about;20110501;4;2;11.0;7;33.0;5;
/about;20110502;1;6;19.5;7;78.0;6;
/about;20110503;1;6;88.5;12;885.0;6;
/about;20110504;0;2;0.0;2;0.0;2;
/about;20110505;2;4;37.166.666.666.666.600;8;223.0;5;
/about;20110506;4;7;17.571.428.571.428.500;14;123.0;11;
/about;20110507;1;2;32.0;2;32.0;2;
/about;20110508;5;6;37.0;8;74.0;8;
/about;20110509;3;6;28.625;12;229.0;7;
/about;20110510;3;4;41.8;8;209.0;6;
/about;20110511;0;3;19.0;3;57.0;3;
/about;20110512;1;6;13.0;7;52.0;6;
/about;20110513;0;2;40.0;2;40.0;2;
/about;20110514;0;3;29.4;6;147.0;3;
/about;20110515;0;5;19.0;5;38.0;5;
/about;20110516;1;6;17.5;7;35.0;6;
/about;20110517;0;5;15.875;8;127.0;5;
/about;20110518;0;2;8.0;2;8.0;2;
/about;20110519;0;2;26.5;2;53.0;2;
/about;20110520;0;5;42.833.333.333.333.300;6;257.0;5;
/about;20110521;0;2;8.0;3;16.0;2;
/about;20110522;0;3;39.0;4;156.0;3;
/about;20110523;0;5;39.0;8;195.0;5;
/about;20110524;0;3;344.6;6;1723.0;4;
/about;20110525;0;6;11.816.666.666.666.600;7;709.0;6;
/about;20110526;0;5;14.0;6;42.0;5;
/about;20110527;3;6;11.4;8;57.0;7;
/about;20110528;1;3;13.0;3;26.0;3;
/about;20110529;0;3;13.25;4;53.0;3;
/about;20110530;0;3;18.25;5;73.0;3;
/about;20110531;0;3;18.0;7;90.0;3;
/about;20110601;0;6;2.617.142.857.142.850;9;1832.0;6;
/about;20110602;1;4;19.666.666.666.666.600;4;59.0;4;
/about;20110603;0;2;4.0;2;4.0;2;
/about;20110604;0;4;41.0;4;41.0;4;
/about;20110605;1;7;13.75;14;165.0;8;
/about;20110606;0;3;19.0;4;57.0;3;
/about;20110607;0;8;18.0;10;144.0;8;
/about;20110608;1;5;14.571.428.571.428.500;7;102.0;5;
/about;20110609;0;2;18.5;4;74.0;2;
/about;20110610;2;9;267.8;10;1339.0;10;
/about;20110611;1;5;30.25;6;121.0;5;
/about;20110612;0;2;26.0;4;104.0;4;
/about;20110613;1;3;17.0;3;17.0;3;
/about;20110614;0;5;42.5;5;85.0;5;
/about;20110615;1;5;13.666.666.666.666.600;6;41.0;5;
/about;20110616;1;5;24.666.666.666.666.600;5;74.0;5;
/about;20110617;0;1;0.0;1;0.0;1;
/about;20110618;0;1;19.0;3;38.0;1;
/about;20110619;0;1;24.6;5;123.0;1;
/about;20110620;0;2;39.0;2;39.0;2;
/about;20110621;1;7;21.571.428.571.428.500;7;151.0;7;
/about;20110622;0;3;22.666.666.666.666.600;4;68.0;3;
/about;20110623;0;1;32.0;1;32.0;1;
/about;20110624;0;2;74.8;5;374.0;2;
/about;20110625;0;5;25.4;5;127.0;5;
/about;20110626;0;2;7.5;3;15.0;2;
/about;20110627;0;4;26.0;5;130.0;4;
/about;20110628;0;1;2.0;1;2.0;1;
/about;20110629;0;2;190.0;3;190.0;2;
/about;20110630;0;2;7.5;3;15.0;2;
/about;20110701;0;6;0.0;6;0.0;6;
/about;20110702;0;2;27.0;2;54.0;2;
/about;20110703;0;1;15.0;1;15.0;1;
/about;20110704;0;6;9.0;8;45.0;6;
/about;20110705;0;2;0.0;2;0.0;2;
/about;20110706;1;3;13.75;5;55.0;3;
/about;20110707;0;3;12.666.666.666.666.600;5;380.0;3;
/about;20110708;0;3;74.5;8;447.0;3;
/about;20110711;2;7;21.933.333.333.333.300;12;1974.0;8;
/about;20110712;0;2;12.0;2;24.0;2;
/about;20110713;0;1;0.0;1;0.0;1;
/about;20110714;1;3;10.933.333.333.333.300;4;328.0;3;
/about;20110716;0;2;11.0;2;22.0;2;
/about;20110717;0;2;31.0;3;62.0;3;
/about;20110719;1;4;28.0;6;84.0;4;
/about;20110720;0;5;15.833.333.333.333.300;7;95.0;5;
/about;20110721;0;1;217.0;1;217.0;1;
/about;20110722;1;5;26.0;6;130.0;5;
/about;20110724;1;2;42.0;2;42.0;2;
/about;20110725;2;5;25.666.666.666.666.600;6;77.0;6;
/about;20110726;0;3;7.666.666.666.666.660;4;23.0;3;
/about;20110727;0;3;11.0;4;44.0;3;
/about;20110728;0;2;5.0;2;5.0;2;
/about;20110730;0;1;61.0;1;61.0;1;
/about;20110731;0;2;0.0;2;0.0;2;
/about;20110801;0;3;819.0;3;1638.0;3;
/about;20110802;0;2;77.0;2;77.0;2;
/about;20110803;0;1;51.0;1;51.0;1;
/about;20110804;0;3;4.0;3;8.0;3;
/about;20110805;0;3;1070.0;4;1070.0;3;
/about;20110807;0;2;7.0;2;7.0;2;
/about;20110808;0;5;12.75;5;51.0;5;
/about;20110809;0;5;16.0;5;48.0;5;
/about;20110810;0;4;12.285.714.285.714.200;9;86.0;4;
/about;20110811;0;4;39.0;6;195.0;4;
/about;20110812;0;3;15.25;4;61.0;3;
/about;20110814;0;2;12.0;2;24.0;2;
/about;20110815;1;5;39.8;7;199.0;5;
/about;20110816;0;4;5.0;4;15.0;4;
/about;20110817;2;3;37.0;3;37.0;3;
/about;20110818;3;4;16.0;9;80.0;6;
/about;20110819;7;4;0.0;8;0.0;8;
/about;20110820;2;3;18.0;5;54.0;4;
/about;20110821;0;3;15.666.666.666.666.600;3;47.0;3;
/about;20110822;2;2;26.25;6;105.0;3;
/about;20110823;2;1;0.0;2;0.0;2;
/about;20110824;1;3;45.666.666.666.666.600;4;137.0;3;
/about;20110825;2;4;4.788.333.333.333.330;9;2873.0;5;
/about;20110826;3;4;83.0;6;83.0;6;
/about;20110827;1;3;16.0;4;48.0;3;
/about;20110828;1;1;26.5;2;53.0;1;
/about;20110829;3;3;7.0;5;14.0;5;
/about;20110830;1;2;82.0;2;82.0;2;
/about;20110831;2;5;30.75;8;123.0;6;
/about;20110901;4;7;19.714.285.714.285.700;12;138.0;9;
/about;20110902;1;2;759.0;3;1518.0;2;
/about;20110903;1;1;0.0;1;0.0;1;
/about;20110904;0;5;30.833.333.333.333.300;6;185.0;5;
/about;20110905;1;4;59.0;4;59.0;4;
/about;20110906;3;3;20.666.666.666.666.600;7;62.0;5;
/about;20110907;1;3;0.0;3;0.0;3;
/about;20110909;0;3;38.333.333.333.333.300;5;115.0;3;
/about;20110910;0;2;0.0;2;0.0;2;
/about;20110911;0;3;939.0;3;939.0;3;
/about;20110912;1;2;17.5;3;35.0;3;
/about;20110913;0;4;363.5;4;727.0;4;
/about;20110914;0;5;20.6;7;103.0;5;
/about;20110915;5;5;11.8;9;59.0;7;
/about;20110916;0;5;15.333.333.333.333.300;5;46.0;5;
/about;20110919;0;3;6.0;3;6.0;3;
/about;20110920;0;2;23.0;3;69.0;2;
/about;20110921;0;8;188.4;11;942.0;9;
/about;20110922;1;4;58.2;6;291.0;5;
/about;20110923;0;1;27.0;1;27.0;1;
/about;20110924;1;3;0.0;3;0.0;3;
/about;20110925;0;1;0.0;1;0.0;1;
/about;20110926;0;2;15.766.666.666.666.600;3;473.0;2;
/about;20110927;0;2;13.5;4;54.0;2;
/about;20110928;3;8;30.8;9;154.0;8;
/about;20110929;0;4;204.0;4;408.0;4;
/about;20110930;0;5;386.25;5;1545.0;5;
/about;20111002;0;4;157.0;4;628.0;4;
/about;20111003;0;2;6.0;2;6.0;2;
/about;20111004;0;3;168.875;9;1351.0;4;
/about;20111005;0;4;8.633.333.333.333.330;4;259.0;4;
/about;20111007;0;1;36.0;1;36.0;1;
/about;20111008;0;1;0.0;1;0.0;1;
/about;20111009;0;5;37.333.333.333.333.300;6;112.0;5;
/about;20111010;0;1;11.833.333.333.333.300;3;355.0;1;
/about;20111011;0;2;25.0;2;50.0;2;
/about;20111012;0;6;7.144.444.444.444.440;10;643.0;6;
/about;20111013;0;2;16.5;2;33.0;2;
/about;20111014;1;3;10.0;4;30.0;3;
/about;20111015;0;2;8.0;3;16.0;2;
/about;20111016;0;1;24.0;1;24.0;1;
/about;20111017;0;2;19.0;2;19.0;2;
/about;20111018;1;4;15.814.285.714.285.700;9;1107.0;5;
/about;20111019;0;2;49.5;3;99.0;2;
/about;20111020;0;3;15.033.333.333.333.300;6;451.0;4;
/about;20111021;0;1;5.0;1;5.0;1;
/about;20111022;0;2;6.0;3;12.0;2;
/about;20111023;0;2;27.0;2;27.0;2;
/about;20111024;0;3;24.833.333.333.333.300;6;1490.0;3;
/about;20111025;0;1;0.0;1;0.0;1;
/about;20111026;0;5;6.828.571.428.571.420;8;478.0;5;
/about;20111027;0;1;18.0;3;36.0;1;
/about;20111028;2;2;0.0;2;0.0;2;
/about;20111029;1;1;0.0;1;0.0;1;
/about;20111031;1;8;226.4;9;1132.0;9;
/about;20111101;0;4;11.0;4;22.0;4;
/about;20111102;0;4;22.0;5;66.0;4;
/about;20111103;0;4;7.166.666.666.666.660;4;215.0;4;
/about;20111105;0;1;0.0;1;0.0;1;
/about;20111106;1;5;190.5;6;762.0;5;
/about;20111107;1;4;49.5;4;99.0;4;
/about;20111108;0;2;3.0;2;3.0;2;
/about;20111109;1;2;327.0;2;654.0;2;
/about;20111110;0;3;50.75;4;203.0;3;
/about;20111111;1;2;0.0;2;0.0;2;
/about;20111112;0;4;5.333.333.333.333.330;5;16.0;4;
/about;20111113;2;6;34.75;7;139.0;6;
/about;20111114;0;1;17.0;1;17.0;1;
/about;20111115;0;8;8.728.571.428.571.420;10;611.0;8;
/about;20111116;0;4;4.0;4;4.0;4;
/about;20111117;1;3;54.333.333.333.333.300;5;163.0;3;
/about;20111118;1;7;10.571.428.571.428.500;9;74.0;7;
/about;20111119;1;7;44.75;9;358.0;7;
/about;20111120;0;3;31.666.666.666.666.600;3;95.0;3;
/about;20111121;0;1;0.0;1;0.0;1;
/about;20111122;0;8;18.428.571.428.571.400;10;129.0;8;
/about;20111123;0;4;24.75;5;99.0;4;
/about;20111124;0;5;51.0;8;255.0;5;
/about;20111125;0;5;83.8;5;419.0;5;
/about;20111126;0;2;2.0;2;2.0;2;
/about;20111127;0;6;12.233.333.333.333.300;6;367.0;6;
/about;20111128;0;6;31.25;9;250.0;6;
/about;20111129;0;4;33.666.666.666.666.600;4;101.0;4;
/about;20111130;0;3;33.0;5;99.0;3;
/about;20111201;0;1;0.0;1;0.0;1;
/about;20111202;0;1;3.0;1;3.0;1;
/about;20111203;0;2;3.0;2;3.0;2;
/about;20111204;1;5;6.5;6;26.0;5;
/about;20111205;1;4;16.4;6;82.0;4;
/about;20111206;0;2;6.5;2;13.0;2;
/about;20111207;0;9;28.0;15;392.0;9;
/about;20111208;0;2;11.5;2;23.0;2;
/about;20111209;2;5;32.8;6;164.0;5;
/about;20111210;0;3;33.666.666.666.666.600;3;101.0;3;
/about;20111211;0;1;35.0;1;35.0;1;
/about;20111212;0;4;24.0;5;72.0;4;
/about;20111213;1;3;27.0;4;81.0;3;
/about;20111214;0;6;347.25;7;1389.0;6;
/about;20111215;2;3;40.0;3;80.0;3;
/about;20111216;5;7;21.6;9;108.0;8;
/about;20111217;1;3;24.0;3;24.0;3;
/about;20111218;1;3;13.0;3;13.0;3;
/about;20111219;4;12;149.0;12;1043.0;12;
/about;20111221;0;5;39.75;6;159.0;5;
/about;20111222;0;4;127.6;6;638.0;4;
/about;20111223;1;1;0.0;2;0.0;1;
/about;20111224;0;1;7.0;1;7.0;1;
/about;20111225;1;3;31.5;3;63.0;3;
/about;20111226;0;1;14.0;2;28.0;1;
/about;20111227;0;7;18.666.666.666.666.600;9;112.0;8;
/about;20111228;0;3;56.0;3;112.0;3;
/about;20111229;1;5;19.142.857.142.857.100;9;134.0;6;
/about;20111230;0;2;44.666.666.666.666.600;3;134.0;2;
/about;20111231;0;1;0.0;1;0.0;1;
/about;20120101;1;2;11.0;2;11.0;2;
/about;20120102;0;1;19.0;1;19.0;1;
/about;20120103;1;5;0.0;5;0.0;5;
/about;20120104;1;5;15.5;8;93.0;6;
/about;20120105;0;6;50.333.333.333.333.300;8;302.0;6;
/about;20120106;0;6;35.666.666.666.666.600;6;107.0;6;
/about;20120107;0;3;11.333.333.333.333.300;3;34.0;3;
/about;20120108;0;3;491.0;3;982.0;3;
/about;20120109;0;1;7.0;2;7.0;1;
/about;20120110;1;6;31.2;7;156.0;7;
/about;20120111;0;7;20.818.181.818.181.800;13;229.0;7;
/about;20120112;0;6;51.25;9;410.0;6;
/about;20120113;0;3;38.333.333.333.333.300;4;115.0;3;
/about;20120114;0;1;0.0;1;0.0;1;
/about;20120115;2;4;23.2;6;116.0;5;
/about;20120116;1;4;28.5;5;57.0;4;
/about;20120117;3;4;23.333.333.333.333.300;4;70.0;4;
/about;20120118;0;8;14.857.142.857.142.800;11;104.0;8;
/about;20120119;0;6;96.0;6;480.0;6;
/about;20120120;0;5;34.0;5;170.0;5;
/about;20120121;0;1;5.0;1;5.0;1;
/about;20120122;2;5;25.4;7;127.0;5;
/about;20120123;1;7;13.166.666.666.666.600;7;79.0;7;
/about;20120124;1;6;10.771.428.571.428.500;8;754.0;6;
/about;20120125;1;5;16.333.333.333.333.300;6;98.0;5;
/about;20120126;0;6;30.5;8;183.0;6;
/about;20120127;0;7;30.0;7;120.0;7;
/about;20120128;1;4;220.0;4;440.0;4;
/about;20120129;0;1;7.0;1;7.0;1;
/about;20120130;0;6;12.666.666.666.666.600;7;76.0;6;
/about;20120131;2;11;27.571.428.571.428.500;14;193.0;11;
/about;20120201;0;6;17.666.666.666.666.600;7;106.0;6;
/about;20120202;3;5;13.333.333.333.333.300;11;80.0;7;
/about;20120203;6;7;202.5;12;1215.0;10;
/about;20120204;6;6;25.25;12;101.0;10;
/about;20120205;6;3;21.5;8;43.0;8;
/about;20120206;4;3;33.0;11;198.0;6;
/about;20120207;6;12;8.888.888.888.888.880;26;1600.0;18;
/about;20120208;7;8;10.071.428.571.428.500;12;705.0;11;
/about;20120209;4;6;19.666.666.666.666.600;9;59.0;9;
/about;20120210;4;8;304.25;11;1217.0;11;
/about;20120211;3;7;17.333.333.333.333.300;7;52.0;7;
/about;20120212;1;6;18.166.666.666.666.600;9;109.0;6;
/about;20120213;0;6;45.583.333.333.333.300;13;547.0;7;
/about;20120214;0;4;260.5;4;521.0;4;
/about;20120215;2;7;23.444.444.444.444.400;11;211.0;8;
/about;20120216;1;5;29.833.333.333.333.300;7;179.0;5;
/about;20120217;0;5;236.5;6;946.0;5;
/about;20120218;0;1;0.0;1;0.0;1;
/about;20120219;1;2;56.666.666.666.666.600;4;170.0;2;
/about;20120220;0;6;49.5;11;396.0;6;
/about;20120221;1;8;165.125;11;1321.0;8;
/about;20120222;1;7;88.5;7;531.0;7;
/about;20120223;0;4;8.0;4;16.0;4;
/about;20120224;1;4;114.0;4;114.0;4;
/about;20120225;2;3;127.5;3;255.0;3;
/about;20120226;1;3;6.5;3;13.0;3;
/about;20120227;1;4;208.5;4;417.0;4;
/about;20120228;0;3;239.75;4;959.0;3;
/about;20120229;0;4;13.5;5;27.0;4;
/about;20120301;0;2;29.5;2;59.0;2;
/about;20120302;0;2;56.0;2;56.0;2;
/about;20120303;0;3;97.0;4;291.0;3;
/about;20120304;0;2;56.0;2;112.0;2;
/about;20120305;0;7;8.571.428.571.428.570;8;60.0;7;
/about;20120306;0;1;0.0;1;0.0;1;
/about;20120307;1;7;20.0;7;60.0;7;
/about;20120308;1;5;27.6;6;138.0;5;
/about;20120309;0;5;26.0;6;156.0;5;
/about;20120310;0;2;45.0;2;45.0;2;
/about;20120311;0;4;42.5;4;170.0;4;
/about;20120312;2;19;5.769.230.769.230.760;23;750.0;19;
/about;20120313;2;6;16.166.666.666.666.600;8;485.0;6;
/about;20120314;0;7;30.1;14;301.0;7;
/about;20120315;0;7;121.6;9;608.0;7;
/about;20120316;1;4;11.0;5;44.0;4;
/about;20120317;1;1;0.0;1;0.0;1;
/about;20120318;0;3;31.5;3;63.0;3;
/about;20120319;1;9;11.142.857.142.857.100;10;780.0;9;
/about;20120320;2;6;36.666.666.666.666.600;9;220.0;7;
/about;20120321;0;2;0.0;2;0.0;2;
/about;20120322;0;7;104.2;7;521.0;7;
/about;20120323;0;1;49.0;1;49.0;1;
/about;20120325;0;3;42.5;3;85.0;3;
/about;20120326;1;6;17.5;6;70.0;6;
/about;20120327;1;6;50.333.333.333.333.300;8;151.0;6;
/about;20120328;1;4;24.333.333.333.333.300;5;73.0;4;
/about;20120329;1;27;29.88;33;747.0;27;
/about;20120330;0;39;7.193.548.387.096.770;44;2230.0;39;
/about;20120331;1;2;16.5;2;33.0;2;
/about;20120401;0;4;16.166.666.666.666.600;6;97.0;4;
/about;20120402;0;1;5.5;2;11.0;1;
/about;20120403;0;6;14.833.333.333.333.300;8;89.0;6;
/about;20120404;1;7;19.272.727.272.727.200;13;212.0;7;
/about;20120405;0;5;22.5;5;45.0;5;
/about;20120406;0;4;12.4;6;62.0;4;
/about;20120407;0;3;9.133.333.333.333.330;3;274.0;3;
/about;20120408;0;3;17.25;5;69.0;4;
/about;20120409;1;3;14.0;5;56.0;3;
/about;20120410;1;8;33.285.714.285.714.200;9;233.0;8;
/about;20120411;0;3;42.0;5;168.0;3;
/about;20120412;1;8;22.625;12;181.0;9;
/about;20120413;0;2;32.0;3;64.0;2;
/about;20120414;0;1;0.0;1;0.0;1;
/about;20120415;0;2;26.0;2;26.0;2;
/about;20120416;0;3;7.0;4;14.0;3;
/about;20120417;0;3;0.0;3;0.0;3;
/about;20120418;0;5;18.0;5;72.0;5;
/about;20120419;1;4;54.0;4;108.0;4;
/about;20120420;0;1;9.0;1;9.0;1;
/about;20120421;0;6;89.5;13;895.0;6;
/about;20120422;7;4;0.0;10;0.0;10;
/about;20120423;2;8;17.625;10;141.0;9;
/about;20120424;0;11;47.3;13;473.0;11;
/about;20120425;0;8;31.8;8;159.0;8;
/about;20120426;0;4;27.666.666.666.666.600;4;83.0;4;
/about;20120427;0;5;76.0;6;152.0;5;
/about;20120428;0;2;1043.0;2;1043.0;2;
/about;20120429;2;4;21.6;7;108.0;4;
/about;20120501;0;2;9.0;2;18.0;2;
/about;20120502;0;1;0.0;1;0.0;1;
/about;20120503;0;6;41.0;8;205.0;7;
/about;20120504;0;4;179.9;11;1799.0;4;
/about;20120505;0;3;37.5;3;75.0;3;
/about;20120506;1;3;115.0;4;230.0;3;
/about;20120507;1;4;205.0;5;410.0;4;
/about;20120508;1;2;433.0;2;433.0;2;
/about;20120509;1;4;8.0;4;8.0;4;
/about;20120510;1;5;34.0;5;68.0;5;
/about;20120511;1;7;20.0;9;120.0;7;
/about;20120512;0;1;0.0;1;0.0;1;
/about;20120513;0;4;18.333.333.333.333.300;5;55.0;4;
/about;20120515;1;3;21.857.142.857.142.800;7;153.0;3;
/about;20120516;1;5;123.2;9;616.0;6;
/about;20120517;2;8;29.0;12;290.0;9;
/about;20120518;1;7;47.0;11;376.0;7;
/about;20120519;1;7;23.75;14;285.0;8;
/about;20120520;2;3;10.333.333.333.333.300;4;31.0;3;
/about;20120521;0;7;7.0;7;28.0;7;
/about;20120522;0;5;76.0;5;152.0;5;
/about;20120523;2;5;329.0;5;329.0;5;
/about;20120524;1;2;10.0;2;10.0;2;
/about;20120525;0;5;33.0;5;132.0;5;
/about;20120526;0;4;5.666.666.666.666.660;5;17.0;4;
/about;20120527;2;2;0.0;2;0.0;2;
/about;20120528;0;2;13.0;2;13.0;2;
